FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	ID	Condition
-4.892	-3.441	-1.205	-10.929	-6.570	-2.765	-5.934	1.141	8.431	11.964	17.266	12.267	-3.765	-8.745	-2.310	-6.537	-5.679	5.637	-8.319	-8.339	-9.375	-4.135	-2.266	3.890	6.244	13.939	7.449	10.584	12	Faces
-14.105	-13.112	5.641	-4.551	-6.573	0.659	14.246	14.901	21.791	20.150	11.326	10.845	0.749	-8.655	-7.117	-19.266	-16.403	-19.375	-6.419	-16.784	-10.303	-8.318	-5.177	2.884	4.921	10.648	7.804	10.289	12	ScrambledCars
-7.110	-9.978	-7.499	-21.949	-8.570	-6.423	3.406	10.601	21.181	21.928	14.035	16.142	-0.011	-2.846	-10.121	-8.209	-10.387	-9.808	-6.535	-9.957	-7.783	-4.115	-4.162	6.385	11.538	17.965	13.153	18.177	12	ScrambledFaces
3.455	4.265	8.983	-9.375	-8.310	-3.026	-1.916	-4.841	-0.987	-1.851	-0.622	-1.007	-2.655	-11.254	6.715	2.762	-0.638	11.061	-2.302	-3.983	-9.423	-7.634	-4.363	-2.220	-3.034	0.706	-0.902	2.333	12	Faces
-0.993	-6.701	9.053	13.840	-9.183	-5.587	-0.343	6.536	6.615	11.937	14.414	11.128	-5.812	-11.799	-15.458	-13.880	-10.760	-15.256	-8.872	-13.156	-16.268	-6.706	-6.024	-0.464	8.563	15.482	6.197	10.257	12	ScrambledFaces
-4.668	-5.361	4.967	3.952	-7.138	-0.863	-6.482	1.323	-0.444	3.166	10.802	5.710	-9.187	-7.058	3.623	-6.991	-2.069	2.570	-4.394	-7.450	-8.400	-5.703	2.173	1.399	4.639	7.018	2.006	5.343	12	ScrambledFaces
-0.942	9.596	4.249	12.639	6.203	6.837	11.185	11.046	-1.620	6.459	-9.301	-0.401	7.127	8.113	-6.126	1.099	-1.676	2.403	-1.232	0.227	0.806	-1.598	-5.245	1.026	-4.337	-2.664	3.107	4.079	12	Faces
-1.138	-3.428	-2.267	-3.726	-5.156	-5.210	-4.505	5.849	15.398	8.682	20.264	13.211	-9.304	-11.640	-5.790	-5.352	-4.140	-12.496	-10.440	-10.564	-6.247	-11.339	-12.389	-4.078	-0.947	10.309	3.705	10.152	12	ScrambledCars
-1.276	-5.315	6.114	5.107	2.962	3.952	16.607	10.392	18.993	16.055	20.012	11.483	-8.344	-6.317	3.881	-7.816	-3.181	-3.465	-13.307	-4.852	-6.815	-7.962	-7.044	-6.335	-1.174	2.752	0.315	6.935	12	ScrambledFaces
-3.568	1.069	-9.643	-16.402	-2.138	-6.610	-4.939	-2.411	5.138	5.492	14.484	11.450	1.771	-5.699	-2.197	-3.264	-5.936	-6.431	-6.652	-3.512	-2.394	-6.260	-4.104	5.004	10.169	15.268	8.824	9.748	12	Faces
-5.738	-10.379	-2.648	-13.206	-6.488	-2.180	3.803	9.042	11.226	12.343	13.873	10.896	2.933	-9.932	-6.336	-16.130	-12.162	-10.331	-11.737	-19.543	-15.976	-9.905	-2.696	0.200	7.214	11.332	6.689	10.494	12	ScrambledFaces
-6.145	-5.509	-9.928	-7.176	-5.160	-5.331	8.186	4.778	13.454	16.333	15.029	13.609	0.555	-2.938	-4.227	-7.545	-6.113	-2.277	-2.400	-6.380	2.184	-9.466	-5.919	0.584	2.575	8.924	7.554	11.518	12	ScrambledFaces
